Group,Genus,Species,Tandem,Leader,Leader2,source
Basal,Zootermopsis,angusticollis,1,female,female,Mizumoto-etal-2022
Basal,Anacanthotermes,ochraceus,0,0,0,Mizumoto-etal-2022
Basal,Anacanthotermes,macrocephalus,0,0,0,Mizumoto-etal-2022
Basal,Hodotermes,mossambicus,1,male,male,Mizumoto-etal-2022
Basal,Porotermes,adamsoni,1,NA,female,Mizumoto-etal-2022
Basal,Stolotermes,ruficeps,0,0,0,Mizumoto-etal-2022
Kalo,Bifiditermes,beesoni,0,0,0,Mizumoto-etal-2022
Kalo,Cryptotermes,brevis,1,female,female,Mizumoto-etal-2022
Kalo,Cryptotermes,havilandi,0,0,0,Mizumoto-etal-2022
Kalo,Cryptotermes,domesticus,0,0,0,Mizumoto-etal-2022
Kalo,Cryptotermes,cynocephalus,1,NA,female,Mizumoto-etal-2022
Kalo,Cryptotermes,dudleyi,1,both,both,Mizumoto-etal-2022
Kalo,Incisitermes,minor,1,female,female,Mizumoto-etal-2022
Kalo,Kalotermes,flavicollis,1,both,both,Mizumoto-etal-2022
Kalo,Marginitermes,hubbardi,1,NA,female,Mizumoto-etal-2022
Kalo,Neotermes,sugioi,0,0,0,Mizumoto-etal-2022
Kalo,Paraneotermes,simplicicornis,1,both,both,Mizumoto-etal-2022
Kalo,Postelectrotermes,nayari,1,female,female,lacking
Kalo,Pterotermes,occidentis,0,0,0,Mizumoto-etal-2022
Neo,Coptotermes,formosanus,1,female,female,Mizumoto-etal-2022
Neo,Coptotermes,gestroi,1,female,female,Mizumoto-etal-2022
Neo,Prorhinotermes,simplex,1,female,female,Mizumoto-etal-2022
Neo,Psammotermes,hybostoma,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,speratus,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,flavipes,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,virginicus,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,flaviceps,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,chinensis,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,aculabialis,1,female,female,Mizumoto-etal-2022
Neo,Reticulitermes,lucifugus,1,female,female,Mizumoto-etal-2022
Neo,Allodontotermes,giffardii,1,female,female,lacking
Neo,Ancistrotermes,dimorphus,1,female,female,Mizumoto-etal-2022
Neo,Ancistrotermes,pakistanicus,1,female,female,Mizumoto-etal-2022
Neo,Hypotermes,obscuriceps,1,female,female,Mizumoto-etal-2022
Neo,Macrotermes,natalensis,1,female,female,Mizumoto-etal-2022
Neo,Macrotermes,annandalei,1,female,female,Mizumoto-etal-2022
Neo,Macrotermes,barneyi,1,female,female,Mizumoto-etal-2022
Neo,Macrotermes,convulsionarius,1,female,female,Mizumoto-etal-2022
Neo,Microtermes,usambaricus,1,NA,female,Mizumoto-etal-2022
Neo,Microtermes,unicolor,1,female,female,Mizumoto-etal-2022
Neo,Odontotermes,formosanus,1,female,female,Mizumoto-etal-2022
Neo,Odontotermes,obesus,1,NA,female,Mizumoto-etal-2022
Neo,Odontotermes,distans,1,female,female,Mizumoto-etal-2022
Neo,Odontotermes,brunneus,1,female,female,Mizumoto-etal-2022
Neo,Odontotermes,assmuthi,1,female,female,Mizumoto-etal-2022
Neo,Pseudacanthotermes,spiniger,1,female,female,Mizumoto-etal-2022
Neo,Pseudacanthotermes,militaris,1,female,female,Mizumoto-etal-2022
Neo,Anoplotermes,sp,1,female,female,Mizumoto-etal-2022
Neo,Cubitermes,tenuiceps,1,female,female,Mizumoto-etal-2022
Neo,Isognathotermes,ugandensis,1,female,female,Mizumoto-etal-2022
Neo,Nitiditermes,testaceus,1,female,female,Mizumoto-etal-2022
Neo,Ternicubitermes,glebae,1,female,female,Mizumoto-etal-2022
Neo,Cornitermes,bequarerti,1,female,female,Mizumoto-etal-2022
Neo,Cornitermes,cumulans,1,female,female,Mizumoto-etal-2022
Neo,Embiratermes,neotenicus,1,female,female,Mizumoto-etal-2022
Neo,Procornitermes,araujoi,1,female,female,Mizumoto-etal-2022
Neo,Nasutitermes,corniger,1,female,female,Mizumoto-etal-2022
Neo,Nasutitermes,nigriceps,1,NA,female,Mizumoto-etal-2022
Neo,Nasutitermes,ephratae,1,female,female,Mizumoto-etal-2022
Neo,Nasutitermes,costalis,1,female,female,Mizumoto-etal-2022
Neo,Nasutitermes,exitiosus,1,NA,female,Mizumoto-etal-2022
Neo,Trinervitermes,suspensus,1,NA,female,Mizumoto-etal-2022
Neo,Trinervitermes,bettonianus,1,female,female,Mizumoto-etal-2022
Neo,Amitermes,floridensis,1,female,female,Mizumoto-etal-2022
Neo,Amitermes,atlanticus,1,female,female,Mizumoto-etal-2022
Neo,Amitermes,wheeleri,1,NA,female,Mizumoto-etal-2022
Neo,Gnathamitermes,perplexus,1,NA,female,lacking
Neo,Inquilinitermes,microcerus,1,NA,female,Mizumoto-etal-2022
Neo,Microcerotermes,biroi,1,female,female,Mizumoto-etal-2022
Neo,Microcerotermes,edentatus,1,female,female,Mizumoto-etal-2022
Neo,Pericapritermes,sp,1,female,female,Mizumoto-etal-2022
Neo,Silvestritermes,heyeri,1,female,female,lacking
Neo,Silvestritermes,minutus,1,female,female,lacking
Neo,Tenuirostritermes,tenuterossini,1,NA,female,lacking
Kalo,Glyptotermes,satsumensis,1,both,both,this study
Kalo,Glyptotermes,nakajimai_sexual,0,0,0,this study
Kalo,Glyptotermes,nakajimai_asexual,0,0,0,this study
Kalo,Glyptotermes,fuscus,1,both,both,this study
Basal,Hodotermopsis,sjostedti,1,both,both,NM personal observation. To be published.
Basal,Mastotermes,darwiniensis,0,0,0,NM personal observation. To be published.
